Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
195,799faa81,GitHub,19d43369,data/19d43369/src/799faa81.ts,52,52,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key:Gitlab Feed Token
956,3e2f9ba3,GitHub,19d43369,data/19d43369/src/3e2f9ba3.js,8,8,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
974,29ec2672,GitHub,19d43369,data/19d43369/src/29ec2672.ts,23,23,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
1110,373e7b5f,GitHub,19d43369,data/19d43369/src/373e7b5f.ts,124,124,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
1133,acc14edf,GitHub,19d43369,data/19d43369/test/acc14edf.mjs,126,126,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
1797,638968e1,GitHub,19d43369,data/19d43369/src/638968e1.ts,197,197,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
1801,5083cee0,GitHub,19d43369,data/19d43369/src/5083cee0.ts,90,90,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
2481,5d81f507,GitHub,19d43369,data/19d43369/test/5d81f507.mjs,613,613,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
2736,3a168f70,GitHub,19d43369,data/19d43369/test/3a168f70.js,11,11,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
2737,b7cd2dd4,GitHub,19d43369,data/19d43369/test/b7cd2dd4.js,12,12,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
2738,3b5b4633,GitHub,19d43369,data/19d43369/test/3b5b4633.js,10,10,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
2739,64c5d14a,GitHub,19d43369,data/19d43369/test/64c5d14a.js,10,10,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
2740,b7cd2dd4,GitHub,19d43369,data/19d43369/test/b7cd2dd4.js,10,10,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
3062,4be11945,GitHub,19d43369,data/19d43369/test/4be11945.mjs,101,101,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
4042,6932e05d,GitHub,19d43369,data/19d43369/test/6932e05d.nolint,1,1,F,F,,,F,F,,,,,0,0,F,F,F,Key
5193,ea223293,GitHub,19d43369,data/19d43369/src/ea223293.ts,13,13,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
6383,ffd22091,GitHub,19d43369,data/19d43369/src/ffd22091.ts,305,305,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
6384,ffd22091,GitHub,19d43369,data/19d43369/src/ffd22091.ts,260,260,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12817,626bb77f,GitHub,19d43369,data/19d43369/src/626bb77f.ts,33,33,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12874,defebb79,GitHub,19d43369,data/19d43369/src/defebb79.ts,15,15,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
12878,8207a600,GitHub,19d43369,data/19d43369/test/8207a600.mjs,122,122,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15904,2b903dad,GitHub,19d43369,data/19d43369/src/2b903dad.js,56,56,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15905,2b903dad,GitHub,19d43369,data/19d43369/src/2b903dad.js,29,29,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
25361,892123ed,GitHub,19d43369,data/19d43369/other/892123ed.hbs,8,8,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
50280,64c5d14a,GitHub,19d43369,data/19d43369/test/64c5d14a.js,12,12,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
50281,3b5b4633,GitHub,19d43369,data/19d43369/test/3b5b4633.js,12,12,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
64065,4be11945,GitHub,19d43369,data/19d43369/test/4be11945.mjs,119,119,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
