Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
70854,b3356305,GitHub,1dc6a932,data/1dc6a932/other/b3356305.md,4,4,F,F,295,326,F,F,,,,,3.07,31,F,F,F,Password:Credential
70855,b3356305,GitHub,1dc6a932,data/1dc6a932/other/b3356305.md,13,13,F,F,14,20,F,F,,,,,1.39,6,F,F,F,Password
70856,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,97,97,F,F,22,31,F,F,,,,,2.20,9,F,F,F,Auth
70857,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,180,180,F,F,21,25,F,F,,,,,1.50,4,F,F,F,Auth
70858,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,184,184,F,F,21,25,F,F,,,,,1.00,4,F,F,F,Auth
70859,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,187,187,F,F,23,27,F,F,,,,,1.50,4,F,F,F,Auth
70860,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,192,192,F,F,19,23,F,F,,,,,1.50,4,F,F,F,Auth
70861,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,196,196,F,F,19,23,F,F,,,,,1.00,4,F,F,F,Auth
70862,47f64110,GitHub,1dc6a932,data/1dc6a932/src/47f64110.py,204,204,F,F,21,25,F,F,,,,,1.00,4,F,F,F,Auth
109428,049185df,GitHub,1dc6a932,data/1dc6a932/src/049185df.xml,12,12,F,F,26,43,F,F,,,,,3.3027227,,F,F,F,Password
109429,0641a548,GitHub,1dc6a932,data/1dc6a932/src/0641a548.xml,5,5,F,F,23,31,F,F,,,,,3.121928,,F,F,F,Password
109430,64b0710b,GitHub,1dc6a932,data/1dc6a932/src/64b0710b.xml,12,12,F,F,27,41,F,F,,,,,3.625,,F,F,F,Password
109431,8d7e5b82,GitHub,1dc6a932,data/1dc6a932/src/8d7e5b82.xml,11,11,F,F,27,40,F,F,,,,,3.3232315,,F,F,F,Password
109432,9d94c32e,GitHub,1dc6a932,data/1dc6a932/src/9d94c32e.xml,5,5,F,F,23,40,F,F,,,,,3.5766177,,F,F,F,Password
109433,bc36bd21,GitHub,1dc6a932,data/1dc6a932/src/bc36bd21.xml,7,7,F,F,25,39,F,F,,,,,3.375,,F,F,F,Password
109434,bce54dc5,GitHub,1dc6a932,data/1dc6a932/src/bce54dc5.xml,12,12,F,F,27,37,F,F,,,,,3.0849626,,F,F,F,Password
109435,dcb716c6,GitHub,1dc6a932,data/1dc6a932/src/dcb716c6.xml,11,11,F,F,27,35,F,F,,,,,2.9219282,,F,F,F,Password
