Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1496,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,540:540,False,F,,,F,F,,,,,0,0,F,F,F,
4325,74cc8ce5,GitHub,57067d8d,data/57067d8d/src/c.1,25:25,False,F,,,F,F,,,,,0,0,F,F,F,
4350,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,827:827,False,F,,,F,F,,,,,0,0,F,F,F,
4351,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,312:312,False,F,,,F,F,,,,,0,0,F,F,F,
4352,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,549:549,False,F,,,F,F,,,,,0,0,F,F,F,
13750,d3e8ad5b,GitHub,57067d8d,data/57067d8d/test/g.bats,12:12,False,F,,,F,F,,,,,0,0,F,F,F,
13753,aab25731,GitHub,57067d8d,data/57067d8d/test/h.bats,75:75,False,F,,,F,F,,,,,0,0,F,F,F,
14239,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,1044:1044,False,F,,,F,F,,,,,0,0,F,F,F,
14240,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,293:293,False,F,,,F,F,,,,,0,0,F,F,F,
14241,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,859:859,False,F,,,F,F,,,,,0,0,F,F,F,
14243,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,134:134,False,F,,,F,F,,,,,0,0,F,F,F,
17206,8859d323,GitHub,57067d8d,data/57067d8d/test/f.bats,211:211,False,F,,,F,F,,,,,0,0,F,F,F,
17512,145931c5,GitHub,57067d8d,data/57067d8d/test/d.bash,40:40,False,F,,,F,F,,,,,0,0,F,F,F,
23595,06572a96,GitHub,57067d8d,data/57067d8d/other/a.md,117:117,False,F,,,F,F,,,,,0,0,F,F,F,
23596,b3356305,GitHub,57067d8d,data/57067d8d/other/b.md,156:156,False,F,,,F,F,,,,,0,0,F,F,F,
29498,d96df7c4,GitHub,57067d8d,data/57067d8d/test/e.bats,5:5,Template,1,16,33,F,F,Any,,,Secret,2.81,17,F,F,F,Password
31105,d3e8ad5b,GitHub,57067d8d,data/57067d8d/test/g.bats,68:68,Template,0,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
33791,8859d323,GitHub,57067d8d,data/57067d8d/test/f.bats,108:108,True,0,20,84,F,F,Any,,,Secret,5.25,64,F,F,F,Generic Secret
33792,d96df7c4,GitHub,57067d8d,data/57067d8d/test/e.bats,6:6,True,0,20,84,F,F,Any,,,Secret,5.10,64,F,F,F,Generic Secret
48130,d3e8ad5b,GitHub,57067d8d,data/57067d8d/test/g.bats,38:38,Template,0,48,54,F,F,Any,,,Secret,2.58,6,F,F,F,Password
48131,d3e8ad5b,GitHub,57067d8d,data/57067d8d/test/g.bats,80:80,Template,0,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
48132,d3e8ad5b,GitHub,57067d8d,data/57067d8d/test/g.bats,97:97,Template,0,32,38,F,F,Any,,,Secret,2.58,6,F,F,F,Password
49242,8859d323,GitHub,57067d8d,data/57067d8d/test/f.bats,5:5,Template,1,16,33,F,F,Any,,,Unknown,2.81,17,F,F,F,Other
49243,8859d323,GitHub,57067d8d,data/57067d8d/test/f.bats,6:6,True,0,20,84,F,F,Any,,,Secret,5.10,64,F,F,F,Generic Secret
63765,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,823:823,False,F,,,F,F,,,,,0,0,F,F,F,
74810,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,145:145,False,F,,,F,F,,,,,0,0,F,F,F,
74811,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,157:157,False,F,,,F,F,,,,,0,0,F,F,F,
74812,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,744:744,False,F,,,F,F,,,,,0,0,F,F,F,
74862,ed5a52b5,GitHub,57067d8d,data/57067d8d/other/i,335:335,False,F,,,F,F,,,,,0,0,F,F,F,
