Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
87107,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,468,468,T,13,28,,,Password
87108,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,476,476,F,35,40,,,Password
87109,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,492,492,F,66,71,,,Password
87110,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,495,495,T,28,43,,,Password
87111,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,728,728,T,9,24,,,Password
87112,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,742,742,F,37,47,,,Password:Secret
87113,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,770,770,F,68,77,,,Password
87114,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,777,777,T,24,39,,,Password
87115,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,813,813,F,49,57,,,Secret
87116,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,173,173,F,28,34,,,Key
87117,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,174,174,F,30,36,,,Secret:Key
87118,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,175,175,F,29,36,,,Key
87119,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,176,176,F,32,39,,,Secret:Key
87120,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,177,177,F,27,37,,,Key
109493,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,168,168,T,47,67,,aws-id,AWS Client ID
1520903,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,673,673,F,,,,,CMD Secret
1520904,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,677,677,F,,,,,CMD Secret
1520905,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,682,682,F,,,,,CMD Secret
11527783,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,165,165,F,47,51,,,Secret:Key
11527784,d79cda41,GitHub,653a7746,data/653a7746/secret/d79cda41.1,289,289,F,41,45,,,Secret:Key
11536637,7b3ed02b,GitHub,653a7746,data/653a7746/_/7b3ed02b.rst,168,169,F,47,48,,example-key,AWS Multi
11536638,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,282,283,F,25,65,,example,AWS Multi
11536670,814ea24d,GitHub,653a7746,data/653a7746/test/secret/814ea24d.bats,282,282,F,25,45,,,AWS Client ID
