Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
554,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,50,50,F,,,,,Token
3210,dea4d60e,GitHub,e3f8c305,data/e3f8c305/internal/dea4d60e.go,424,424,F,,,,,Secret
5056,8efba626,GitHub,e3f8c305,data/e3f8c305/pkg/8efba626.go,72,72,F,,,,,Token
5127,67a6e360,GitHub,e3f8c305,data/e3f8c305/pkg/api/67a6e360.go,20,20,F,,,,,Token
6528,04ae936a,GitHub,e3f8c305,data/e3f8c305/docs/04ae936a.md,37,37,F,,,,,Key
10871,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,197,197,F,,,,,Auth
26804,ab474fef,GitHub,e3f8c305,data/e3f8c305/pkg/ab474fef.go,37,37,F,,,,,Password
27058,bd0b1fd9,GitHub,e3f8c305,data/e3f8c305/pkg/bd0b1fd9.go,52,52,F,,,,,Password
27062,bd0b1fd9,GitHub,e3f8c305,data/e3f8c305/pkg/bd0b1fd9.go,72,72,F,,,,,Password
30551,79c19119,GitHub,e3f8c305,data/e3f8c305/_/79c19119.yml,5,5,X,18,27,,,Token
31107,70531564,GitHub,e3f8c305,data/e3f8c305/docs/70531564.md,24,24,X,34,41,,,API:Token
31517,d69a0ce3,GitHub,e3f8c305,data/e3f8c305/docs/d69a0ce3.md,168,168,X,43,59,,,Token
31748,d69a0ce3,GitHub,e3f8c305,data/e3f8c305/docs/d69a0ce3.md,58,58,X,51,63,,,Password
35802,2f034de1,GitHub,e3f8c305,data/e3f8c305/test/pkg/2f034de1.go,19,19,F,19,99,,,Other
42114,ab474fef,GitHub,e3f8c305,data/e3f8c305/pkg/ab474fef.go,33,33,F,,,,,Password
42777,bd0b1fd9,GitHub,e3f8c305,data/e3f8c305/pkg/bd0b1fd9.go,40,40,F,,,,,Password
46074,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,124,124,F,15,88,,,Token
46075,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,125,125,T,15,47,,,Token
46076,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,126,126,T,15,51,,,Token:UUID
46154,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,47,47,T,13,23,,,Token
101561,2f034de1,GitHub,e3f8c305,data/e3f8c305/test/pkg/2f034de1.go,24,24,F,,,,,Password
110837,dea4d60e,GitHub,e3f8c305,data/e3f8c305/internal/dea4d60e.go,17,17,F,,,,,API
130541,8efba626,GitHub,e3f8c305,data/e3f8c305/pkg/8efba626.go,67,67,F,,,,,Token
130542,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,80,80,F,,,,,Token
134709,70531564,GitHub,e3f8c305,data/e3f8c305/docs/70531564.md,33,33,F,,,,,Token:API
11531202,67a6e360,GitHub,e3f8c305,data/e3f8c305/pkg/api/67a6e360.go,9,9,F,25,72,,,Token
11531203,bd0b1fd9,GitHub,e3f8c305,data/e3f8c305/pkg/bd0b1fd9.go,76,76,F,15,42,,,Auth
11536568,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,124,124,F,15,51,,,UUID
11536569,b129d98b,GitHub,e3f8c305,data/e3f8c305/test/pkg/b129d98b.go,124,124,F,52,88,,,UUID
