Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
183,892485a0,GitHub,942d502d,data/942d502d/conf/docker/892485a0.sh,11,11,F,,,,,Key
184,84731597,GitHub,942d502d,data/942d502d/conf/docker/84731597.sh,37,37,F,,,,,Key
185,84731597,GitHub,942d502d,data/942d502d/conf/docker/84731597.sh,20,20,F,,,,,Key
7472,a0cb7fbb,GitHub,942d502d,data/942d502d/docker/docs/document/a0cb7fbb.rst,43,43,X,28,39,,,Password
7473,a0cb7fbb,GitHub,942d502d,data/942d502d/docker/docs/document/a0cb7fbb.rst,40,40,X,28,39,,,Password
7489,4d2ba911,GitHub,942d502d,data/942d502d/docker/4d2ba911.md,10,10,F,,,,,Password
8914,a5101cea,GitHub,942d502d,data/942d502d/_/a5101cea.py,256,256,F,,,,,Key
11999,6cbf58ce,GitHub,942d502d,data/942d502d/conf/docker/6cbf58ce.py,201,201,F,,,,,Key
13755,36cc6c45,GitHub,942d502d,data/942d502d/conf/docker/36cc6c45.py,79,79,F,,,,,Key
18444,c9c7f0e4,GitHub,942d502d,data/942d502d/test/conf/docker/c9c7f0e4.yml,22,22,F,,,,,Key
29301,25539e91,GitHub,942d502d,data/942d502d/conf/docker/etc/25539e91.conf,9,9,F,11,56,,,Password
30202,38da410a,GitHub,942d502d,data/942d502d/test/docker/38da410a,9,9,X,22,25,,,Password
30626,ea3a3dbf,GitHub,942d502d,data/942d502d/docker/docs/document/ea3a3dbf.rst,45,45,T,165,179,,,Password
31220,94e71643,GitHub,942d502d,data/942d502d/test/docker/94e71643,34,34,X,93,107,,,Password
31755,86c4fac5,GitHub,942d502d,data/942d502d/test/docker/86c4fac5,9,9,T,17,28,,,Password
35259,b712701a,GitHub,942d502d,data/942d502d/conf/docker/server/etc/b712701a.key,1,51,T,,,Private,,PEM Private Key
35328,887bc970,GitHub,942d502d,data/942d502d/conf/docker/server/etc/887bc970.key,1,51,T,,,Private,,PEM Private Key
36042,e0c363a8,GitHub,942d502d,data/942d502d/conf/docker/etc/e0c363a8.conf,14,14,T,11,17,,,Password
36054,f67e2778,GitHub,942d502d,data/942d502d/conf/docker/etc/f67e2778.conf,14,14,T,11,17,,,Password
40612,ca07f8a0,GitHub,942d502d,data/942d502d/docker/template/ca07f8a0.jinja2,10,10,F,,,,,Password
40613,e7432936,GitHub,942d502d,data/942d502d/conf/docker/etc/e7432936.conf,14,14,T,11,17,,,Password
40614,25539e91,GitHub,942d502d,data/942d502d/conf/docker/etc/25539e91.conf,14,14,T,11,17,,,Password
40615,d3777e9e,GitHub,942d502d,data/942d502d/conf/docker/server/etc/d3777e9e.key,1,51,T,,,Private,,PEM Private Key
58183,ca07f8a0,GitHub,942d502d,data/942d502d/docker/template/ca07f8a0.jinja2,54,54,F,,,,,Password
74508,36cc6c45,GitHub,942d502d,data/942d502d/conf/docker/36cc6c45.py,201,201,F,,,,,Key
74705,e7432936,GitHub,942d502d,data/942d502d/conf/docker/etc/e7432936.conf,9,9,F,,,,,Password
74706,f67e2778,GitHub,942d502d,data/942d502d/conf/docker/etc/f67e2778.conf,9,9,F,,,,,Password
74707,e0c363a8,GitHub,942d502d,data/942d502d/conf/docker/etc/e0c363a8.conf,9,9,F,,,,,Password
75140,6cbf58ce,GitHub,942d502d,data/942d502d/conf/docker/6cbf58ce.py,79,79,F,,,,,Key
138003,a0cb7fbb,GitHub,942d502d,data/942d502d/docker/docs/document/a0cb7fbb.rst,40,40,F,133,137,,,Password
138005,a0cb7fbb,GitHub,942d502d,data/942d502d/docker/docs/document/a0cb7fbb.rst,43,43,F,148,152,,,Password
