Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
2760,cf108a5c,GitHub,f7ae636a,data/f7ae636a/other/cf108a5c,40,40,F,F,,,F,F,,,,,0,0,F,F,F,Secret
12135,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,290,290,F,F,,,F,F,,,,,0,0,F,F,F,Password
16104,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,296,296,F,F,,,F,F,,,,,0,0,F,F,F,Password
16108,92dc3d6e,GitHub,f7ae636a,data/f7ae636a/other/92dc3d6e.md,58,58,F,F,,,F,F,,,,,0,0,F,F,F,Password
49196,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,246,246,F,F,,,F,F,,,,,0,0,F,F,F,Password
50291,92dc3d6e,GitHub,f7ae636a,data/f7ae636a/other/92dc3d6e.md,52,52,Template,T,24,42,F,F,Any,,,Unknown,3.22,18,F,F,F,Password
107481,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,209,209,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107482,33fc8070,GitHub,f7ae636a,data/f7ae636a/test/33fc8070.sh,206,206,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107483,33fc8070,GitHub,f7ae636a,data/f7ae636a/test/33fc8070.sh,212,212,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107484,33fc8070,GitHub,f7ae636a,data/f7ae636a/test/33fc8070.sh,219,219,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107485,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,213,213,F,F,,,F,F,,,,,0.00,,F,F,F,Password
107486,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,577,577,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107487,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,581,581,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
107488,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,639,639,F,F,-1,-1,F,F,,,,,0.0,-1,F,F,F,Other
131142,b3356305,GitHub,f7ae636a,data/f7ae636a/other/b3356305.md,217,217,F,F,,,F,F,,,,,0.00,,F,F,F,Password
1494761,a3f34961,GitHub,f7ae636a,data/f7ae636a/test/a3f34961.go,382,382,T,F,25,52,F,F,,,,,0.0,0,F,F,F,Password
