Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
753,2a547727,GitHub,793e12f9,data/793e12f9/src/2a547727.rb,44,44,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
1012,15d532e8,GitHub,793e12f9,data/793e12f9/other/15d532e8.md,67,67,F,F,,,F,F,,,,,0,0,F,F,F,API
1986,3b194f6f,GitHub,793e12f9,data/793e12f9/other/3b194f6f,18,18,F,F,,,F,F,,,,,0,0,F,F,F,Password
2548,fbf2a935,GitHub,793e12f9,data/793e12f9/src/fbf2a935.rb,53,53,F,F,,,F,F,,,,,0,0,F,F,F,Token
4430,15d532e8,GitHub,793e12f9,data/793e12f9/other/15d532e8.md,63,63,F,F,,,F,F,,,,,0,0,F,F,F,API
6270,e68066cf,GitHub,793e12f9,data/793e12f9/other/e68066cf,44,44,F,F,,,F,F,,,,,0,0,F,F,F,Certificate
6271,e68066cf,GitHub,793e12f9,data/793e12f9/other/e68066cf,37,37,F,F,,,F,F,,,,,0,0,F,F,F,Certificate
12031,3b194f6f,GitHub,793e12f9,data/793e12f9/other/3b194f6f,17,17,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Credential
12373,cde7602e,GitHub,793e12f9,data/793e12f9/src/cde7602e.rb,89,89,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
13841,e3084ddd,GitHub,793e12f9,data/793e12f9/src/e3084ddd.rb,7,7,Template,T,51,60,F,F,CharOnly,,,Auth,2.73,9,F,F,F,Key
20923,b89304f6,GitHub,793e12f9,data/793e12f9/src/b89304f6.rb,29,29,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
28132,b7636b02,GitHub,793e12f9,data/793e12f9/src/b7636b02.rb,126,126,T,T,37,44,F,F,Any,,,Secret,2.81,7,F,F,F,Password
28860,ff081bd4,GitHub,793e12f9,data/793e12f9/src/ff081bd4.rb,453,453,Template,F,48,51,T,F,CharsOnly,,,Token,1.58,3,F,F,F,Token
28888,ff081bd4,GitHub,793e12f9,data/793e12f9/src/ff081bd4.rb,331,331,Template,F,43,49,F,F,CharsOnly,,,Token,2.58,6,F,F,F,Token
30991,9fbcc953,GitHub,793e12f9,data/793e12f9/src/9fbcc953.rb,163,163,F,F,,,F,F,CharsOnly,,,SeedSalt,1.58,3,F,F,F,Nonce:Token
32407,15d532e8,GitHub,793e12f9,data/793e12f9/other/15d532e8.md,106,106,T,F,50,56,T,F,Any,,,Key,2.25,6,F,F,F,API:Key
32573,b89304f6,GitHub,793e12f9,data/793e12f9/src/b89304f6.rb,8,8,F,T,15,28,F,F,CharsOnly,,,Unknown,3.24,13,F,F,F,Key
32578,ee054816,GitHub,793e12f9,data/793e12f9/src/ee054816.html,16,16,T,F,11,43,F,F,Any,,,Key,3.51,32,F,F,F,API:Key
34249,89740fcf,GitHub,793e12f9,data/793e12f9/src/89740fcf.rb,38,38,F,F,53,59,T,F,Any,,,Secret,2.15,6,F,F,T,URL Credentials
34458,9fbcc953,GitHub,793e12f9,data/793e12f9/src/9fbcc953.rb,406,406,Template,T,45,54,T,F,Any,,,Secret,2.6,9,F,F,T,Password:URL Credentials
35807,2ade384c,GitHub,793e12f9,data/793e12f9/test/2ade384c,142,142,T,T,49,66,T,F,Any,,,Secret,3.09,17,F,F,T,URL Credentials
36117,89740fcf,GitHub,793e12f9,data/793e12f9/src/89740fcf.rb,6,6,F,T,56,60,T,F,CharsOnly,,,Secret,1.5,4,F,F,F,Password:URL Credentials
36345,9fbcc953,GitHub,793e12f9,data/793e12f9/src/9fbcc953.rb,154,154,T,T,34,47,T,F,Any,,,Secret,2.9,13,F,F,T,Password:URL Credentials
55574,ff081bd4,GitHub,793e12f9,data/793e12f9/src/ff081bd4.rb,456,456,Template,F,48,51,T,F,CharsOnly,,,Token,1.58,3,F,F,F,Token
100168,89740fcf,GitHub,793e12f9,data/793e12f9/src/89740fcf.rb,8,8,F,F,,,F,F,,,,,0.00,,F,F,F,Password
110012,e68066cf,GitHub,793e12f9,data/793e12f9/other/e68066cf,23,23,F,F,,,F,F,,,,,0.00,,F,F,F,Certificate
110013,e68066cf,GitHub,793e12f9,data/793e12f9/other/e68066cf,24,24,F,F,,,F,F,,,,,0.00,,F,F,F,Certificate
130006,ff081bd4,GitHub,793e12f9,data/793e12f9/src/ff081bd4.rb,421,421,F,F,,,F,F,,,,,0.00,,F,F,F,Password
130007,e3084ddd,GitHub,793e12f9,data/793e12f9/src/e3084ddd.rb,111,111,F,F,,,F,F,,,,,0.00,,F,F,F,Auth
133476,b7636b02,GitHub,793e12f9,data/793e12f9/src/b7636b02.rb,118,118,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key:API
