Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
5006,010eabfb,GitHub,c145598e,data/c145598e/src/010eabfb.java,1067,1067,F,,,,,Credential
5011,7bf6e8cd,GitHub,c145598e,data/c145598e/src/7bf6e8cd.java,65,65,F,-1,-1,,,Key
5014,022c0b79,GitHub,c145598e,data/c145598e/src/022c0b79.java,77,77,F,-1,-1,,,Key
5018,e4831b9c,GitHub,c145598e,data/c145598e/src/e4831b9c.java,370,370,F,-1,-1,,,Key
9064,daadc53d,GitHub,c145598e,data/c145598e/src/daadc53d.java,104,104,F,,,,,Password
9863,b1c56432,GitHub,c145598e,data/c145598e/src/b1c56432.jsp,750,750,F,-1,-1,,,Key
9864,6b451260,GitHub,c145598e,data/c145598e/src/6b451260.jsp,385,385,F,-1,-1,,,Key
9882,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,185,185,F,-1,-1,,,Key
9883,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,183,183,F,-1,-1,,,Key
9884,b1c56432,GitHub,c145598e,data/c145598e/src/b1c56432.jsp,364,364,F,-1,-1,,,Key
9885,b1c56432,GitHub,c145598e,data/c145598e/src/b1c56432.jsp,365,365,F,-1,-1,,,Key
9886,b1c56432,GitHub,c145598e,data/c145598e/src/b1c56432.jsp,366,366,F,-1,-1,,,Key
9887,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,330,330,F,,,,,Key
9888,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,375,375,F,,,,,Key
9889,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,238,238,F,-1,-1,,,Key
9890,22cabfa5,GitHub,c145598e,data/c145598e/src/22cabfa5.jsp,184,184,F,-1,-1,,,Key
11124,8636b613,GitHub,c145598e,data/c145598e/src/8636b613.js,668,668,F,-1,-1,,,Key
12065,5ab341d7,GitHub,c145598e,data/c145598e/src/5ab341d7.jsp,431,431,F,-1,-1,,,Credential
12066,5ab341d7,GitHub,c145598e,data/c145598e/src/5ab341d7.jsp,433,433,F,28,38,,,Password
12180,27e0d4d1,GitHub,c145598e,data/c145598e/src/27e0d4d1.js,7086,7086,F,-1,-1,,,Key
12234,81199442,GitHub,c145598e,data/c145598e/src/81199442.java,67,67,F,-1,-1,,,Key
12451,221adbc5,GitHub,c145598e,data/c145598e/src/221adbc5.js,2411,2411,F,-1,-1,,,Key
12626,81199442,GitHub,c145598e,data/c145598e/src/81199442.java,57,57,F,-1,-1,,,Key
12830,8636b613,GitHub,c145598e,data/c145598e/src/8636b613.js,43,43,F,-1,-1,,,Key
13377,71e2a545,GitHub,c145598e,data/c145598e/src/71e2a545.java,89,89,F,,,,,API
13402,71e2a545,GitHub,c145598e,data/c145598e/src/71e2a545.java,68,68,F,,,,,API
15149,9654ae23,GitHub,c145598e,data/c145598e/src/9654ae23.js,13,13,F,-1,-1,,,Key
25273,150ad80d,GitHub,c145598e,data/c145598e/src/150ad80d.jsp,36,36,F,-1,-1,,,Key
25274,150ad80d,GitHub,c145598e,data/c145598e/src/150ad80d.jsp,33,33,F,-1,-1,,,Key
25875,150ad80d,GitHub,c145598e,data/c145598e/src/150ad80d.jsp,15,15,F,-1,-1,,,Key
26019,dec13561,GitHub,c145598e,data/c145598e/src/dec13561.jsp,26,26,F,,,,,Password
26021,150ad80d,GitHub,c145598e,data/c145598e/src/150ad80d.jsp,66,66,F,-1,-1,,,Key
26471,a0425b8d,GitHub,c145598e,data/c145598e/src/a0425b8d.jsp,30,30,F,,,,,Password
26499,1aacd97c,GitHub,c145598e,data/c145598e/src/1aacd97c.jsp,135,135,F,,,,,Password
27366,ddcc4e1d,GitHub,c145598e,data/c145598e/src/ddcc4e1d.java,40,40,T,44,52,,,Password
32288,928eada6,GitHub,c145598e,data/c145598e/src/928eada6.properties,9,9,T,21,31,,,Certificate:Key:Password
34043,85c03d87,GitHub,c145598e,data/c145598e/src/85c03d87.java,69,69,T,30,39,,,Password
42103,010eabfb,GitHub,c145598e,data/c145598e/src/010eabfb.java,1147,1147,F,,,,,Credential
61995,022c0b79,GitHub,c145598e,data/c145598e/src/022c0b79.java,152,152,F,-1,-1,,,Key
108539,81199442,GitHub,c145598e,data/c145598e/src/81199442.java,46,46,F,,,,,Secret
108540,ddcc4e1d,GitHub,c145598e,data/c145598e/src/ddcc4e1d.java,42,42,T,53,70,,,Password
108541,010eabfb,GitHub,c145598e,data/c145598e/src/010eabfb.java,719,719,F,,,,,Password
131621,1aacd97c,GitHub,c145598e,data/c145598e/src/1aacd97c.jsp,437,437,F,,,,,Password
131622,81199442,GitHub,c145598e,data/c145598e/src/81199442.java,55,55,F,,,,,Secret
131624,1aacd97c,GitHub,c145598e,data/c145598e/src/1aacd97c.jsp,504,504,F,,,,,Password
134361,6b451260,GitHub,c145598e,data/c145598e/src/6b451260.jsp,958,958,F,-1,-1,,,Key
134362,6b451260,GitHub,c145598e,data/c145598e/src/6b451260.jsp,1048,1048,F,-1,-1,,,Key
134363,6b451260,GitHub,c145598e,data/c145598e/src/6b451260.jsp,1096,1096,F,-1,-1,,,Key
134364,6b451260,GitHub,c145598e,data/c145598e/src/6b451260.jsp,1164,1164,F,-1,-1,,,Key
