Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1208,5d28f972,GitHub,81cd05d0,data/81cd05d0/src/sf.java,187:187,False,F,,,F,F,,,,,0,0,F,F,F,
1209,588ff839,GitHub,81cd05d0,data/81cd05d0/src/o.java,262:262,False,F,,,F,F,,,,,0,0,F,F,F,
1210,588ff839,GitHub,81cd05d0,data/81cd05d0/src/o.java,367:367,False,F,,,F,F,,,,,0,0,F,F,F,
1211,588ff839,GitHub,81cd05d0,data/81cd05d0/src/o.java,178:178,False,F,,,F,F,,,,,0,0,F,F,F,
1225,a585f922,GitHub,81cd05d0,data/81cd05d0/src/y.java,57:57,False,F,,,F,F,,,,,0,0,F,F,F,
1604,f9139bbb,GitHub,81cd05d0,data/81cd05d0/src/sh.java,129:129,False,F,,,F,F,,,,,0,0,F,F,F,
2372,5af86f05,GitHub,81cd05d0,data/81cd05d0/src/q.java,72:72,False,F,,,F,F,,,,,0,0,F,F,F,
2442,f4403e98,GitHub,81cd05d0,data/81cd05d0/src/r.java,72:72,False,F,,,F,F,,,,,0,0,F,F,F,
2458,254c7e39,GitHub,81cd05d0,data/81cd05d0/src/s.java,72:72,False,F,,,F,F,,,,,0,0,F,F,F,
2459,6f66e265,GitHub,81cd05d0,data/81cd05d0/src/si.java,75:75,False,F,,,F,F,,,,,0,0,F,F,F,
2559,a57354f1,GitHub,81cd05d0,data/81cd05d0/src/u.java,77:77,False,F,,,F,F,,,,,0,0,F,F,F,
3813,631b3f02,GitHub,81cd05d0,data/81cd05d0/src/oa.json,291267:291267,False,F,,,F,F,,,,,0,0,F,F,F,
4005,4d678f09,GitHub,81cd05d0,data/81cd05d0/test/bh.java,40:53,True,1,,,F,F,Any,Private,,Unknown,2.45,29,F,F,F,Private Key
4032,6f8a2a14,GitHub,81cd05d0,data/81cd05d0/src/qq.json,13440:13440,False,F,,,F,F,,,,,0,0,F,F,F,
4118,631b3f02,GitHub,81cd05d0,data/81cd05d0/src/oa.json,291218:291218,False,F,,,F,F,,,,,0,0,F,F,F,
4133,631b3f02,GitHub,81cd05d0,data/81cd05d0/src/oa.json,291252:291252,False,F,,,F,F,,,,,0,0,F,F,F,
4155,631b3f02,GitHub,81cd05d0,data/81cd05d0/src/oa.json,291216:291216,False,F,,,F,F,,,,,0,0,F,F,F,
4210,249db4b3,GitHub,81cd05d0,data/81cd05d0/src/qr.json,105:105,False,F,,,F,F,,,,,0,0,F,F,F,
4211,6f8a2a14,GitHub,81cd05d0,data/81cd05d0/src/qq.json,411:411,False,F,,,F,F,,,,,0,0,F,F,F,
8665,367cfbc9,GitHub,81cd05d0,data/81cd05d0/src/z.java,1559:1559,False,F,,,F,F,,,,,0,0,F,F,F,
8666,ae6e65e7,GitHub,81cd05d0,data/81cd05d0/src/bu.java,235:235,False,F,,,F,F,,,,,0,0,F,F,F,
8667,e64a6212,GitHub,81cd05d0,data/81cd05d0/src/bn.java,515:515,False,F,,,F,F,,,,,0,0,F,F,F,
8668,cc762b89,GitHub,81cd05d0,data/81cd05d0/src/sr.java,275:275,False,F,,,F,F,,,,,0,0,F,F,F,
8669,2cf1224c,GitHub,81cd05d0,data/81cd05d0/src/bt.java,436:436,False,F,,,F,F,,,,,0,0,F,F,F,
8670,3b994587,GitHub,81cd05d0,data/81cd05d0/src/h.java,506:506,False,F,,,F,F,,,,,0,0,F,F,F,
8671,dfeedf7c,GitHub,81cd05d0,data/81cd05d0/src/st.java,268:268,False,F,,,F,F,,,,,0,0,F,F,F,
8672,dfeedf7c,GitHub,81cd05d0,data/81cd05d0/src/st.java,264:264,False,F,,,F,F,,,,,0,0,F,F,F,
8673,b2182b6e,GitHub,81cd05d0,data/81cd05d0/src/so.java,1057:1057,False,F,,,F,F,,,,,0,0,F,F,F,
8674,91eb9e36,GitHub,81cd05d0,data/81cd05d0/src/sm.java,1896:1896,False,F,,,F,F,,,,,0,0,F,F,F,
8675,2316bb01,GitHub,81cd05d0,data/81cd05d0/src/c.java,139:139,False,F,,,F,F,,,,,0,0,F,F,F,
8676,93aa3091,GitHub,81cd05d0,data/81cd05d0/src/bk.java,615:615,False,F,,,F,F,,,,,0,0,F,F,F,
8677,e22477dd,GitHub,81cd05d0,data/81cd05d0/src/bd.java,855:855,False,F,,,F,F,,,,,0,0,F,F,F,
8678,b3fd3eaa,GitHub,81cd05d0,data/81cd05d0/src/ba.java,139:139,False,F,,,F,F,,,,,0,0,F,F,F,
8679,91eb9e36,GitHub,81cd05d0,data/81cd05d0/src/sm.java,1894:1894,False,F,,,F,F,,,,,0,0,F,F,F,
