Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
3294,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,158,158,F,,,,,Password
4435,fd64252c,GitHub,6b03222e,data/6b03222e/test/fd64252c.md,30,30,F,,,,,Secret
5859,a5b931e7,GitHub,6b03222e,data/6b03222e/test/a5b931e7.yaml,2,2,F,,,,,API
5988,2c2b6c82,GitHub,6b03222e,data/6b03222e/test/2c2b6c82.yaml,7,7,F,,,,,API
6054,0b98c2e6,GitHub,6b03222e,data/6b03222e/test/0b98c2e6.yaml,5,5,F,,,,,API
8883,372c7595,GitHub,6b03222e,data/6b03222e/test/372c7595.yaml,43,43,F,,,,,Secret
8884,46895e46,GitHub,6b03222e,data/6b03222e/test/46895e46.yaml,45,45,F,,,,,Secret
9765,380e48ff,GitHub,6b03222e,data/6b03222e/test/380e48ff.go,348,348,F,,,,,API
11458,ce95652a,GitHub,6b03222e,data/6b03222e/src/ce95652a.sh,38,38,F,-1,-1,,,Key
18813,8a39a984,GitHub,6b03222e,data/6b03222e/test/8a39a984.go,181,181,F,-1,-1,,,Key
18824,d1081f0b,GitHub,6b03222e,data/6b03222e/other/d1081f0b.md,31,31,F,-1,-1,,,Key
18829,05188e50,GitHub,6b03222e,data/6b03222e/other/05188e50.md,168,168,F,-1,-1,,,Key
21707,d1081f0b,GitHub,6b03222e,data/6b03222e/other/d1081f0b.md,116,116,F,,,,,API
21710,3ab65063,GitHub,6b03222e,data/6b03222e/other/3ab65063.md,29,29,F,,,,,API
22329,d1081f0b,GitHub,6b03222e,data/6b03222e/other/d1081f0b.md,170,170,F,,,,,API
22330,d1081f0b,GitHub,6b03222e,data/6b03222e/other/d1081f0b.md,167,167,F,,,,,API
22375,d1081f0b,GitHub,6b03222e,data/6b03222e/other/d1081f0b.md,173,173,F,,,,,API
35533,8b81b985,GitHub,6b03222e,data/6b03222e/test/8b81b985.pem,1,5,T,,,Private,,PEM Private Key
35543,f822cf34,GitHub,6b03222e,data/6b03222e/test/f822cf34.pem,1,5,T,,,Private,,PEM Private Key
49161,fd64252c,GitHub,6b03222e,data/6b03222e/test/fd64252c.md,31,31,Template,18,33,,,Password
83213,2c2b6c82,GitHub,6b03222e,data/6b03222e/test/2c2b6c82.yaml,11,11,F,12,19,,,API
83214,0b98c2e6,GitHub,6b03222e,data/6b03222e/test/0b98c2e6.yaml,13,13,F,14,21,,,API
83215,372c7595,GitHub,6b03222e,data/6b03222e/test/372c7595.yaml,2,2,F,12,19,,,API
83216,46895e46,GitHub,6b03222e,data/6b03222e/test/46895e46.yaml,2,2,F,12,19,,,API
108703,380e48ff,GitHub,6b03222e,data/6b03222e/test/380e48ff.go,191,191,F,-1,-1,,,API
108704,380e48ff,GitHub,6b03222e,data/6b03222e/test/380e48ff.go,213,213,F,-1,-1,,,Other
108705,380e48ff,GitHub,6b03222e,data/6b03222e/test/380e48ff.go,223,223,F,-1,-1,,,API
108706,380e48ff,GitHub,6b03222e,data/6b03222e/test/380e48ff.go,214,214,F,-1,-1,,,Other
114781,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,450,450,F,,,,,Auth
114782,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,451,451,F,,,,,Auth
114783,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,452,452,F,,,,,Auth
114784,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,453,453,F,,,,,Auth
114785,3295df72,GitHub,6b03222e,data/6b03222e/src/3295df72.sum,454,454,F,,,,,Auth
1334695,fd64252c,GitHub,6b03222e,data/6b03222e/test/fd64252c.md,65,65,T,50,86,,,UUID
