Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
5024,db18e1be,GitHub,8c9b3ae9,data/8c9b3ae9/src/db18e1be.java,40,40,F,-1,-1,,,Key
5025,db18e1be,GitHub,8c9b3ae9,data/8c9b3ae9/src/db18e1be.java,77,77,F,-1,-1,,,Key
29430,c53c8ea3,GitHub,8c9b3ae9,data/8c9b3ae9/src/c53c8ea3.properties,4,4,Template,27,33,,,Password
29493,2962b0f4,GitHub,8c9b3ae9,data/8c9b3ae9/src/2962b0f4.properties,4,4,Template,27,33,,,Password
30780,8ccf8959,GitHub,8c9b3ae9,data/8c9b3ae9/src/8ccf8959.properties,10,10,Template,28,34,,,Password
31017,8ccf8959,GitHub,8c9b3ae9,data/8c9b3ae9/src/8ccf8959.properties,4,4,Template,27,33,,,Password
34655,bca40d89,GitHub,8c9b3ae9,data/8c9b3ae9/src/bca40d89.properties,4,4,T,27,36,,,Password
34711,550466c0,GitHub,8c9b3ae9,data/8c9b3ae9/src/550466c0.properties,5,5,Template,29,34,,,Password
34712,150f2f54,GitHub,8c9b3ae9,data/8c9b3ae9/test/150f2f54.properties,5,5,Template,29,34,,,Password
42358,23d41fac,GitHub,8c9b3ae9,data/8c9b3ae9/src/23d41fac.properties,4,4,Template,27,33,,,Password
61989,db18e1be,GitHub,8c9b3ae9,data/8c9b3ae9/src/db18e1be.java,94,94,F,-1,-1,,,Key
